"uuid","event_year","event_date","event_time","event_datetime","round","round_number","stadium","city","country","home_team","away_team","observation","winner_team","loser_team","penalty_definition","home_goals","home_goals_in_penalties","away_goals","away_goals_in_penalties"
"000afc21-136a-92d5-4d84-0f5280f57dd7",2002,"11-Jun-02", 15:30 ,2002-06-11 12:30:00.000 -0300,Group A,1,Suwon World Cup Stadium,Suwon ,Korea/Japan,Senegal,Uruguay,,,,false,3,,3,
"007b5642-2f3c-dca5-8070-377504d26593",1998,"12-Jul-98", 21:00 ,1998-07-12 18:00:00.000 -0300,Final,5,Stade de France,Saint-Denis ,France,Brazil,France,,France,Brazil,false,0,,3,
"00cc3a05-431d-f77e-a9ec-1dc8923091f9",1994,"21-Jun-94", 12:30 ,1994-06-21 09:30:00.000 -0300,Group D,1,Foxboro Stadium,Boston ,USA,Argentina,Greece,,Argentina,Greece,false,4,,0,
"00eb8718-f8ea-e190-8ea9-9eb779445588",2010,"14-Jun-10", 16:00 ,2010-06-14 13:00:00.000 -0300,Group E,1,Free State Stadium,Mangaung/Bloemfontein ,South Africa,Japan,Cameroon,,Japan,Cameroon,false,1,,0,
"010fd8f2-fb00-2e2b-b7c7-a521ea43ef56",2006,"21-Jun-06", 16:00 ,2006-06-21 13:00:00.000 -0300,Group D,1,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Germany,Portugal,Mexico,,Portugal,Mexico,false,2,,1,
"0165a260-b455-d6bd-8cbf-59c4188f8d4f",1978,"21-Jun-78", 13:45 ,1978-06-21 10:45:00.000 -0300,Group A,1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,Netherlands,Italy,,Netherlands,Italy,false,2,,1,
"01785ac6-6ecd-2409-d952-8d3f32ac0137",1986,"25-Jun-86", 16:00 ,1986-06-25 13:00:00.000 -0300,Semi-finals,4,Estadio Azteca,Mexico City ,Mexico,Argentina,Belgium,,Argentina,Belgium,false,2,,0,
"01aa1d3f-341f-ee47-011f-a9a959f61d0a",1986,"2-Jun-86", 12:00 ,1986-06-02 09:00:00.000 -0300,Group A,1,Estadio Olï¿½mpico Universitario,Mexico City ,Mexico,Argentina,Korea Republic,,Argentina,Korea Republic,false,3,,1,
"01aa6a33-4b63-100e-0767-a91e436d927c",1938,"5-Jun-38", 17:00 ,1938-06-05 13:00:00.000 -0400,First round,1,Velodrome Municipale,Reims ,France,Hungary,Dutch East Indies,,Hungary,Dutch East Indies,false,6,,0,
"0237831e-924b-2ec1-7e65-9a8a4d1523da",1994,"30-Jun-94", 19:30 ,1994-06-30 16:30:00.000 -0300,Group D,1,Foxboro Stadium,Boston ,USA,Greece,Nigeria,,Nigeria,Greece,false,0,,2,
"0281d6d3-9e27-a4f3-9a36-c438a4dc25c7",2010,"15-Jun-10", 20:30 ,2010-06-15 17:30:00.000 -0300,Group G,1,Ellis Park Stadium,Johannesburg ,South Africa,Brazil,Korea DPR,,Brazil,Korea DPR,false,2,,1,
"0342b475-0f79-0fbc-08c7-4b51b60262bb",1994,"27-Jun-94", 16:00 ,1994-06-27 13:00:00.000 -0300,Group C,1,Soldier Field,Chicago ,USA,Bolivia,Spain,,Spain,Bolivia,false,1,,3,
"037a0342-27c0-3be0-7a90-01bec6f4f559",1950,"28-Jun-50", 15:00 ,1950-06-28 12:00:00.000 -0300,Group 1,1,Eucaliptos,Porto Alegre ,Brazil,Yugoslavia,Mexico,,Yugoslavia,Mexico,false,4,,1,
"039019ba-5cea-bc41-cba4-b8ecb8eb79d4",1966,"12-Jul-66", 19:30 ,1966-07-12 15:30:00.000 -0400,Group 3,1,Goodison Park,Liverpool ,England,Brazil,Bulgaria,,Brazil,Bulgaria,false,2,,0,
"03a95ec6-653d-ca77-1abd-fd9983a3ea7f",1938,"12-Jun-38", 17:00 ,1938-06-12 13:00:00.000 -0400,Quarter-finals,3,Fort Carree,Antibes ,France,Sweden,Cuba,,Sweden,Cuba,false,8,,0,
"03b558cd-81f1-9df9-ddca-a93ca574ca62",2002,"10-Jun-02", 18:00 ,2002-06-10 15:00:00.000 -0300,Group H,1,Oita Stadium Big Eye,Oita ,Korea/Japan,Tunisia,Belgium,,,,false,1,,1,
"03b7b856-ce5c-922d-40e0-b5172cdceda3",2014,"23-Jun-14", 17:00 ,2014-06-23 14:00:00.000 -0300,Group A,1,Estadio Nacional,Brasilia ,Brazil,Cameroon,Brazil,,Brazil,Cameroon,false,1,,4,
"043d50f3-ed5d-de4f-0463-1a4ffc1a2f6c",1954,"19-Jun-54", 17:00 ,1954-06-19 14:00:00.000 -0300,Group 3,1,Hardturm,Zurich ,Switzerland,Austria,Czechoslovakia,,Austria,Czechoslovakia,false,5,,0,
"04601d6d-c8d2-c099-7669-5e45fa06b24b",1970,"7-Jun-70", 12:00 ,1970-06-07 09:00:00.000 -0300,Group 2,1,Luis Dosal,Toluca ,Mexico,Sweden,Israel,,,,false,1,,1,
"04abca46-1461-84ca-6b0e-adc5e523e722",1950,"2-Jul-50", 15:00 ,1950-07-02 12:00:00.000 -0300,Group 2,1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Spain,England,,Spain,England,false,1,,0,
"04da297e-d2b0-fefa-fd06-5dd03933dd6a",2006,"25-Jun-06", 17:00 ,2006-06-25 14:00:00.000 -0300,Round of 16,2,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,England,Ecuador,,England,Ecuador,false,1,,0,
"0508ce2a-d32b-cc8b-fd55-d0991137c2f6",1990,"10-Jun-90", 17:00 ,1990-06-10 14:00:00.000 -0300,Group A,1,Comunale,Florence ,Italy,USA,Czechoslovakia,,Czechoslovakia,USA,false,1,,5,
"05184faf-140e-4e9d-d8b4-ff6c68cf7c45",2014,"19-Jun-14", 16:00 ,2014-06-19 13:00:00.000 -0300,Group D,1,Arena de Sao Paulo,Sao Paulo ,Brazil,Uruguay,England,,Uruguay,England,false,2,,1,
"055b83a0-0cc3-194b-e1ec-221839fdefc3",2014,"17-Jun-14", 13:00 ,2014-06-17 10:00:00.000 -0300,Group H,1,Estadio Mineirao,Belo Horizonte ,Brazil,Belgium,Algeria,,Belgium,Algeria,false,2,,1,
"06622114-5bf2-2218-4ea9-0028a6925a50",2014,"22-Jun-14", 18:00 ,2014-06-22 15:00:00.000 -0300,Group G,1,Arena Amazonia,Manaus ,Brazil,USA,Portugal,,,,false,2,,2,
"066f70b9-f175-7ca1-00cc-888391ddf4f2",1994,"4-Jul-94", 12:30 ,1994-07-04 09:30:00.000 -0300,Round of 16,2,Stanford Stadium,San Francisco ,USA,Brazil,USA,,Brazil,USA,false,1,,0,
"06a35d64-c7c7-fa4f-7ab4-21a6a55de12f",1930,"19-Jul-30", 15:00 ,1930-07-19 11:00:00.000 -0400,Group 1,1,Estadio Centenario,Montevideo ,Uruguay,Argentina,Mexico,,Argentina,Mexico,false,6,,3,
"06b41ef7-4a59-8902-f534-1a065a7ff6f2",1994,"21-Jun-94", 16:00 ,1994-06-21 13:00:00.000 -0300,Group C,1,Soldier Field,Chicago ,USA,Germany,Spain,,,,false,1,,1,
"0705df60-13ad-9f08-afff-79a7c900d82e",2002,"5-Jun-02", 18:00 ,2002-06-05 15:00:00.000 -0300,Group D,1,Suwon World Cup Stadium,Suwon ,Korea/Japan,USA,Portugal,,USA,Portugal,false,3,,2,
"0719326e-8769-32e9-e8de-6b9934a6da06",1938,"14-Jun-38", 18:00 ,1938-06-14 14:00:00.000 -0400,Quarter-finals,3,Stade du Parc Lescure,Bordeaux ,France,Brazil,Czechoslovakia,,Brazil,Czechoslovakia,false,2,,1,
"074d844f-c630-c654-ec7c-594075251882",2002,"9-Jun-02", 20:30 ,2002-06-09 17:30:00.000 -0300,Group H,1,International Stadium Yokohama,Yokohama ,Korea/Japan,Japan,Russia,,Japan,Russia,false,1,,0,
"076bf014-8f1f-41c4-7d58-6acf5f14dbfa",2010,"19-Jun-10", 20:30 ,2010-06-19 17:30:00.000 -0300,Group E,1,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,Cameroon,Denmark,,Denmark,Cameroon,false,1,,2,
"07878329-9da1-cba3-9c71-f42db24ddfaa",2010,"18-Jun-10", 20:30 ,2010-06-18 17:30:00.000 -0300,Group C,1,Cape Town Stadium,Cape Town ,South Africa,England,Algeria,,,,false,0,,0,
"0836ff0b-17f2-8408-d1f9-c53ed73ba62d",1994,"18-Jun-94", 11:30 ,1994-06-18 08:30:00.000 -0300,Group A,1,Pontiac Silverdome,Detroit ,USA,USA,Switzerland,,,,false,1,,1,
"09c43fec-c407-85e8-d8af-ca2bde0904fa",2014,"21-Jun-14", 18:00 ,2014-06-21 15:00:00.000 -0300,Group F,1,Arena Pantanal,Cuiaba ,Brazil,Nigeria,Bosnia and Herzegovina,,Nigeria,Bosnia and Herzegovina,false,1,,0,
"09e40cca-5944-771b-f654-d08da2ef6e99",2010,"25-Jun-10", 16:00 ,2010-06-25 13:00:00.000 -0300,Group G,1,Mbombela Stadium,Nelspruit ,South Africa,Korea DPR,Cï¿½te d'Ivoire,,Cï¿½te d'Ivoire,Korea DPR,false,0,,3,
"09e4dc77-66d6-d6cf-cdc5-89e020498605",1962,"10-Jun-62", 14:30 ,1962-06-10 11:30:00.000 -0300,Quarter-finals,3,Carlos Dittborn,Arica ,Chile,Chile,Soviet Union,,Chile,Soviet Union,false,2,,1,
"0a4585a1-4800-bc2a-fe9f-f878a5fa0c08",1986,"17-Jun-86", 16:00 ,1986-06-17 13:00:00.000 -0300,Round of 16,2,Estadio Universitario,Monterrey ,Mexico,Morocco,Germany FR,,Germany FR,Morocco,false,0,,1,
"0a51b41f-f5a9-bb24-9225-3e32dd1c9d5c",1978,"6-Jun-78", 13:45 ,1978-06-06 10:45:00.000 -0300,Group 1,1,Estadio Josï¿½ Marï¿½a Minella,Mar Del Plata ,Argentina,Italy,Hungary,,Italy,Hungary,false,3,,1,
"0a670026-13ec-d433-da36-a8f923fcb5e3",1954,"20-Jun-54", 17:00 ,1954-06-20 14:00:00.000 -0300,Group 2,1,Charmilles,Geneva ,Switzerland,Turkey,Korea Republic,,Turkey,Korea Republic,false,7,,0,
"0ad37b50-aab3-6f4f-022e-76a5770e120b",2014,"12-Jun-14", 17:00 ,2014-06-12 14:00:00.000 -0300,Group A,1,Arena de Sao Paulo,Sao Paulo ,Brazil,Brazil,Croatia,,Brazil,Croatia,false,3,,1,
"0ad6c57b-fd25-ceb4-c30c-11d5633bf4d9",1938,"16-Jun-38", 18:00 ,1938-06-16 14:00:00.000 -0400,Semi-finals,4,Stade Vï¿½lodrome,Marseilles ,France,Italy,Brazil,,Italy,Brazil,false,2,,1,
"0b159b36-7be3-8381-1d76-7f135c1ec807",2010,"25-Jun-10", 20:30 ,2010-06-25 17:30:00.000 -0300,Group H,1,Free State Stadium,Mangaung/Bloemfontein ,South Africa,Switzerland,Honduras,,,,false,0,,0,
"0b3c0efe-947d-28dd-1ae8-a37e8db0bdd7",1998,"17-Jun-98", 17:30 ,1998-06-17 14:30:00.000 -0300,Group B,1,Stade Geoffroy Guichard,Saint-Etienne ,France,Chile,Austria,,,,false,1,,1,
