"uuid","event_year","event_datetime","round","round_number","stadium","city","country","participant_team","goals_scored","goals_received","is_winner"
"5c416e46-bfb6-7f24-7dd6-8c2b4398c711",2002,2002-06-21 12:30:00.000 -0300,Quarter-finals,3,Shizuoka Stadium Ecopa,Shizuoka ,Korea/Japan,Brazil,2,1,true
"1d913614-a8ae-e68f-6ead-53145f56a1c5",1958,1958-06-08 16:00:00.000 -0300,Group 4,1,Nya Ullevi,Gothenburg ,Sweden,Soviet Union,2,2,false
"645bd7d6-7bab-b6a7-db96-96c52c30c545",1950,1950-07-13 12:00:00.000 -0300,Group 6,1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Brazil,6,1,true
e4574cdf-0cd6-79e6-bc1b-d78e7e46d031,1950,1950-07-01 12:00:00.000 -0300,Group 1,1,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho,Rio De Janeiro ,Brazil,Yugoslavia,0,2,false
dcb62fea-013c-9fc8-819f-5fdb09e08fa3,1962,1962-06-03 12:00:00.000 -0300,Group 3,1,Estadio Sausalito,Vina Del Mar ,Chile,Mexico,0,1,false
edc7c21b-c7db-3114-49d6-c59b2221ad7d,1966,1966-07-16 15:30:00.000 -0400,Group 1,1,Wembley Stadium,London ,England,England,2,0,true
a2ac8d88-e917-f9b7-666f-a38e652144b3,2002,2002-06-02 17:30:00.000 -0300,Group B,1,Gwangju World Cup Stadium,Gwangju ,Korea/Japan,Spain,3,1,true
fe8c7a06-621a-e003-2555-0fc5f07fee12,1994,1994-06-19 16:30:00.000 -0300,Group B,1,Rose Bowl,Los Angeles ,USA,Cameroon,2,2,false
e79f368c-4e6b-8de4-d161-49b8ca031119,2010,2010-06-21 10:30:00.000 -0300,Group G,1,Cape Town Stadium,Cape Town ,South Africa,Portugal,7,0,true
b774be9f-efad-6e2d-74ba-ba97a0288cc5,2010,2010-06-23 17:30:00.000 -0300,Group D,1,Mbombela Stadium,Nelspruit ,South Africa,Australia,2,1,true
"37c39874-a068-d55d-7755-d820ac717f6a",2006,2006-06-19 12:00:00.000 -0300,Group G,1,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,Switzerland,2,0,true
"8fe2da14-0b20-6a24-3430-7a3de403fcf6",1966,1966-07-19 15:30:00.000 -0400,Group 2,1,Hillsborough,Sheffield ,England,Argentina,2,0,true
a92b0f4d-7acf-c200-9d1b-753d7149cceb,2002,2002-06-05 17:30:00.000 -0300,Group E,1,Kashima Stadium,Ibaraki ,Korea/Japan,Republic of Ireland,1,1,false
"4086e42a-55ad-502a-02f6-c12adfc05f4c",1990,1990-06-30 18:00:00.000 -0300,Quarter-finals,3,Stadio Olimpico,Rome ,Italy,Republic of Ireland,0,1,false
"0237831e-924b-2ec1-7e65-9a8a4d1523da",1994,1994-06-30 16:30:00.000 -0300,Group D,1,Foxboro Stadium,Boston ,USA,Greece,0,2,false
"9154965c-2bee-e8e8-d011-d1c3b8af80d7",1962,1962-05-30 12:00:00.000 -0300,Group 4,1,Estadio El Teniente-Codelco,Rancagua ,Chile,Bulgaria,0,1,false
b59288fe-6a71-ab70-546f-bea13332d657,1954,1954-06-16 15:00:00.000 -0300,Group 3,1,Wankdorf Stadium,Berne ,Switzerland,Czechoslovakia,0,2,false
"03b558cd-81f1-9df9-ddca-a93ca574ca62",2002,2002-06-10 15:00:00.000 -0300,Group H,1,Oita Stadium Big Eye,Oita ,Korea/Japan,Tunisia,1,1,false
a03c15dd-9b3e-225a-fbd5-6d86556de52d,2002,2002-06-01 17:30:00.000 -0300,Group E,1,Sapporo Dome,Sapporo ,Korea/Japan,Saudi Arabia,0,8,false
"357bdbaf-f7c2-237c-d46f-429e5ddb9b41",1998,1998-06-20 18:00:00.000 -0300,Group E,1,Stade Vï¿½lodrome,Marseilles ,France,Netherlands,5,0,true
"108b8300-05a8-ea0b-01dc-698de1d8949b",1986,1986-06-06 13:00:00.000 -0300,Group F,1,Tecnologico,Monterrey ,Mexico,England,0,0,false
"1d9e2c1a-e84a-ea0b-cbab-e9245db9acaf",1958,1958-06-17 16:00:00.000 -0300,Group 1,1,Malmo Stadion,Malmï¿½ ,Sweden,Czechoslovakia,1,2,false
"963c4b81-0838-5a3a-0e47-0d9a7cbeecae",2002,2002-06-05 12:30:00.000 -0300,Group H,1,Kobe Wing Stadium,Kobe ,Korea/Japan,Russia,2,0,true
